Date,Value
200001,2.8
200002,3.17
200003,3.54
200004,4.55
200005,7.3
200006,11.51
200007,13.4
200008,12.61
200009,9.82
200010,7.54
200011,7.15
200012,6.03
200101,5.54
200102,4.59
200103,3.78
200104,6.98
200105,10.17
200106,13.36
200107,11.87
200108,10.22
200109,9.77
200110,9.93
200111,8.6
200112,6.17
200201,3.7
200202,2.89
200203,3.55
200204,6.31
200205,8.24
200206,11.22
200207,12.04
200208,13.68
200209,11.6
200210,10.71
200211,6.45
200212,4.38
200301,1.6
200302,1.73
200303,2.55
200304,4.75
200305,8.22
200306,10.61
200307,11.42
200308,8.98
200309,8.29
200310,6.26
200311,7.35
200312,5.49
200401,5.17
200402,3.51
200403,5.02
200404,5.73
200405,11.31
200406,12.01
200407,13.98
200408,10.59
200409,10.27
200410,9.54
200411,7.88
200412,6.17
200501,4.9
200502,4.47
200503,4.08
200504,4.36
200505,6.33
200506,9.81
200507,10.85
200508,10.59
200509,9.93
200510,9.05
200511,8.9
200512,6.34
200601,5.5
200602,3.49
200603,4.43
200604,5.93
200605,8.49
200606,8.73
200607,8.87
200608,9.63
200609,10.6
200610,9.81
200611,7.26
200612,5.75
200701,4.57
200702,4.17
200703,4.67
200704,6.65
200705,8.76
200706,9.53
200707,9.11
200708,11.78
200709,11.93
200710,13.93
200711,8.53
200712,7.3
200801,3.93
200802,4.81
200803,3.8
200804,6.85
200805,8.82
200806,13.72
200807,13.45
200808,11.91
200809,9.71
200810,8.51
200811,8.31
200812,6.92
200901,4.89
200902,4.52
200903,4.62
200904,6.73
200905,8.11
200906,9.4
200907,9.44
200908,11.41
200909,9.11
200910,11.62
200911,7.91
200912,8.54
201001,4.08
201002,3.9
201003,2.78
201004,4.05
201005,6.75
201006,12.64
201007,16.37
201008,17.04
201009,15.95
201010,11.88
201011,9.43
201012,5.17
201101,4.33
201102,3.77
201103,3.96
201104,6.67
201105,9.66
201106,12.43
201107,12.63
201108,11.47
201109,9.25
201110,6.85
201111,5.62
201112,4.68
201201,4.13
201202,3.74
201203,4.37
201204,6.13
201205,9.28
201206,10.77
201207,10.83
201208,8.79
201209,6.79
201210,7.11
201211,5.65
201212,5.79
201301,4.28
201302,4.83
201303,4.97
201304,8.11
201305,11.94
201306,15.2
201307,13.07
201308,9.93
201309,7.06
201310,7.75
201311,7.46
201312,6.75
201401,4.49
201402,3.81
201403,3.39
201404,6.51
201405,8.73
201406,14.87
201407,13.54
201408,14.56
201409,10.89
201410,10.7
201411,7.88
201412,5.58
201501,3.56
201502,2.59
201503,2.08
201504,3.8
201505,7.93
201506,11.83
201507,13.3
201508,12.55
201509,11.42
201510,9.79
201511,8.94
201512,8.96
201601,7.6
201602,5.41
201603,4.79
201604,6.44
201605,8.47
201606,9.55
201607,12.37
201608,14.7
201609,15.88
201610,13.12
201611,9.46
201612,6.17
201701,5.32
201702,4.86
201703,4.99
201704,6.92
201705,9.61
201706,12.06
201707,11.51
201708,11.81
201709,9.92
201710,11.49
201711,8.29
201712,6.77
201801,3.15
201802,3.75
201803,4.11
201804,4.98
201805,7.27
201806,11.36
201807,12.87
201808,13.71
201809,13.52
201810,14.59
201811,11.53
201812,7.95
201901,4.75
201902,5.44
201903,5.51
201904,7.4
201905,10.44
201906,12.54
201907,13.45
201908,11.19
201909,13.48
201910,14.14
201911,12.69
201912,8.81
202001,5.57
202002,4.39
202003,4.49
202004,4.91
202005,7.82
202006,9.71
202007,12.12
202008,12.01
202009,10.56
202010,8.73
202011,7.12
202012,5.36
